Jan 24 15:01:30 amirAcerAspireF5 kernel: Linux version 6.1.6-arch1-1 (linux@archlinux) (gcc (GCC) 12.2.0, GNU ld (GNU Binutils) 2.39.0) #1 SMP PREEMPT_DYNAMIC Sat, 14 Jan 2023 13:09:35 +0000
Jan 24 15:01:30 amirAcerAspireF5 kernel: Command line: BOOT_IMAGE=/boot/vmlinuz-linux root=UUID=8236de7f-9cf5-45bc-9296-53007fa2265e rw loglevel=3 quiet
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x002: 'SSE registers'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x004: 'AVX registers'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x008: 'MPX bounds registers'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x010: 'MPX CSR'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: xstate_offset[2]:  576, xstate_sizes[2]:  256
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: xstate_offset[3]:  832, xstate_sizes[3]:   64
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: xstate_offset[4]:  896, xstate_sizes[4]:   64
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Enabled xstate features 0x1f, context size is 960 bytes, using 'compacted' format.
Jan 24 15:01:30 amirAcerAspireF5 kernel: signal: max sigframe size: 2032
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-provided physical RAM map:
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000000000000-0x000000000009e7ff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x000000000009e800-0x000000000009ffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000000e0000-0x00000000000fffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000000100000-0x000000006834bfff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x000000006834c000-0x000000006834cfff] ACPI NVS
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x000000006834d000-0x0000000068376fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000068377000-0x0000000068427fff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000068428000-0x0000000068d28fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000068d29000-0x0000000075c3dfff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000075c3e000-0x000000007662dfff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x000000007662e000-0x0000000077fadfff] ACPI NVS
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000077fae000-0x0000000077ffdfff] ACPI data
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000077ffe000-0x0000000077ffefff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000077fff000-0x00000000780fffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000079000000-0x000000007c7fffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000e0000000-0x00000000efffffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fd000000-0x00000000fe7fffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000feb00000-0x00000000feb03fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fec00000-0x00000000fec00fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fed00000-0x00000000fed00fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fed10000-0x00000000fed19fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fed84000-0x00000000fed84fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fee00000-0x00000000fee00fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000ffa00000-0x00000000ffffffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000100000000-0x00000001827fffff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: NX (Execute Disable) protection: active
Jan 24 15:01:30 amirAcerAspireF5 kernel: SMBIOS 2.8 present.
Jan 24 15:01:30 amirAcerAspireF5 kernel: DMI: Acer Aspire F5-572G/Zoro_SL , BIOS V1.14 03/04/2016
Jan 24 15:01:30 amirAcerAspireF5 kernel: tsc: Detected 2400.000 MHz processor
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: update [mem 0x00000000-0x00000fff] usable ==> reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: remove [mem 0x000a0000-0x000fffff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: last_pfn = 0x182800 max_arch_pfn = 0x400000000
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/PAT: Configuration [0-7]: WB  WC  UC- UC  WB  WP  UC- WT  
Jan 24 15:01:30 amirAcerAspireF5 kernel: total RAM covered: 6015M
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 64K         num_reg: 10          lose cover RAM: 4195324K
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: root bus resource [mem 0x000a0000-0x000bffff window]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: root bus resource [mem 0x7c800000-0xdfffffff window]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: root bus resource [mem 0xfd000000-0xfe7fffff window]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: root bus resource [bus 00-fe]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:00.0: [8086:1904] type 00 class 0x060000
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:02.0: [8086:1916] type 00 class 0x030000
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:02.0: reg 0x10: [mem 0x92000000-0x92ffffff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:02.0: reg 0x18: [mem 0xa0000000-0xafffffff 64bit pref]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:02.0: reg 0x20: [io  0x5000-0x503f]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:02.0: Video device with shadowed ROM at [mem 0x000c0000-0x000dffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:14.0: [8086:9d2f] type 00 class 0x0c0330
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:14.0: reg 0x10: [mem 0x94500000-0x9450ffff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:14.0: PME# supported from D3hot D3cold
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:14.2: [8086:9d31] type 00 class 0x118000
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:14.2: reg 0x10: [mem 0x9452a000-0x9452afff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:15.0: [8086:9d60] type 00 class 0x118000
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:15.0: reg 0x10: [mem 0x9452b000-0x9452bfff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:16.0: [8086:9d3a] type 00 class 0x078000
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:16.0: reg 0x10: [mem 0x9452c000-0x9452cfff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:16.0: PME# supported from D3hot
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:17.0: [8086:9d03] type 00 class 0x010601
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:17.0: reg 0x10: [mem 0x94528000-0x94529fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:17.0: reg 0x14: [mem 0x9452f000-0x9452f0ff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:17.0: reg 0x18: [io  0x5080-0x5087]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:17.0: reg 0x1c: [io  0x5088-0x508b]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:17.0: reg 0x20: [io  0x5060-0x507f]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:17.0: reg 0x24: [mem 0x9452d000-0x9452d7ff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:17.0: PME# supported from D3hot
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0: [8086:9d10] type 01 class 0x060400
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0: PME# supported from D0 D3hot D3cold
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.4: [8086:9d14] type 01 class 0x060400
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.4: PME# supported from D0 D3hot D3cold
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.5: [8086:9d15] type 01 class 0x060400
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.5: PME# supported from D0 D3hot D3cold
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.0: [8086:9d48] type 00 class 0x060100
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.2: [8086:9d21] type 00 class 0x058000
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.2: reg 0x10: [mem 0x94524000-0x94527fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.3: [8086:9d70] type 00 class 0x040300
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.3: reg 0x10: [mem 0x94520000-0x94523fff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.3: reg 0x20: [mem 0x94510000-0x9451ffff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.3: PME# supported from D3hot D3cold
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.4: [8086:9d23] type 00 class 0x0c0500
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.4: reg 0x10: [mem 0x9452e000-0x9452e0ff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1f.4: reg 0x20: [io  0x5040-0x505f]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: [10de:1299] type 00 class 0x030200
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: reg 0x10: [mem 0x93000000-0x93ffffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: reg 0x14: [mem 0x80000000-0x8fffffff 64bit pref]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: reg 0x1c: [mem 0x90000000-0x91ffffff 64bit pref]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: reg 0x24: [io  0x4000-0x407f]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: reg 0x30: [mem 0xfff80000-0xffffffff pref]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: Enabling HDA controller
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: 16.000 Gb/s available PCIe bandwidth, limited by 5.0 GT/s PCIe x4 link at 0000:00:1c.0 (capable of 63.008 Gb/s with 8.0 GT/s PCIe x8 link)
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.1: [10de:0e0f] type 00 class 0x040300
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.1: reg 0x10: [mem 0x94000000-0x94003fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0: PCI bridge to [bus 01]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0:   bridge window [io  0x4000-0x4fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0:   bridge window [mem 0x93000000-0x940fffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0:   bridge window [mem 0x80000000-0x91ffffff 64bit pref]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:02:00.0: [10ec:8168] type 00 class 0x020000
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:02:00.0: reg 0x10: [io  0x3000-0x30ff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:02:00.0: reg 0x18: [mem 0x94404000-0x94404fff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:02:00.0: reg 0x20: [mem 0x94400000-0x94403fff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:02:00.0: supports D1 D2
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:02:00.0: PME# supported from D0 D1 D2 D3hot D3cold
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.4: PCI bridge to [bus 02]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.4:   bridge window [io  0x3000-0x3fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.4:   bridge window [mem 0x94400000-0x944fffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:03:00.0: [168c:0042] type 00 class 0x028000
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:03:00.0: reg 0x10: [mem 0x94200000-0x943fffff 64bit]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:03:00.0: PME# supported from D0 D3hot D3cold
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.5: PCI bridge to [bus 03]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.5:   bridge window [mem 0x94200000-0x943fffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: PCI: Interrupt link LNKA configured for IRQ 11
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: PCI: Interrupt link LNKB configured for IRQ 10
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: PCI: Interrupt link LNKC configured for IRQ 11
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: PCI: Interrupt link LNKD configured for IRQ 11
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: PCI: Interrupt link LNKE configured for IRQ 11
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: PCI: Interrupt link LNKF configured for IRQ 11
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: PCI: Interrupt link LNKG configured for IRQ 11
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: PCI: Interrupt link LNKH configured for IRQ 11
Jan 24 15:01:30 amirAcerAspireF5 kernel: platform MSFT0101:00: failed to claim resource 1: [mem 0xfed40000-0xfed40fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: acpi MSFT0101:00: platform device creation failed: -16
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI Warning: GPE type mismatch (level/edge) (20220331/evxface-791)
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: EC: interrupt unblocked
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: EC: event unblocked
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: EC: EC_CMD/EC_SC=0x66, EC_DATA=0x62
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: EC: GPE=0x50
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: \_SB_.PCI0.LPCB.EC0_: Boot DSDT EC initialization complete
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: \_SB_.PCI0.LPCB.EC0_: EC: Used to handle transactions and events
Jan 24 15:01:30 amirAcerAspireF5 kernel: iommu: Default domain type: Translated 
Jan 24 15:01:30 amirAcerAspireF5 kernel: iommu: DMA domain TLB invalidation policy: lazy mode 
Jan 24 15:01:30 amirAcerAspireF5 kernel: SCSI subsystem initialized
Jan 24 15:01:30 amirAcerAspireF5 kernel: libata version 3.00 loaded.
Jan 24 15:01:30 amirAcerAspireF5 kernel: ACPI: bus type USB registered
Jan 24 15:01:30 amirAcerAspireF5 kernel: usbcore: registered new interface driver usbfs
Jan 24 15:01:30 amirAcerAspireF5 kernel: usbcore: registered new interface driver hub
Jan 24 15:01:30 amirAcerAspireF5 kernel: usbcore: registered new device driver usb
Jan 24 15:01:30 amirAcerAspireF5 kernel: pps_core: LinuxPPS API ver. 1 registered
Jan 24 15:01:30 amirAcerAspireF5 kernel: pps_core: Software ver. 5.3.6 - Copyright 2005-2007 Rodolfo Giometti <giometti@linux.it>
Jan 24 15:01:30 amirAcerAspireF5 kernel: PTP clock support registered
Jan 24 15:01:30 amirAcerAspireF5 kernel: EDAC MC: Ver: 3.0.0
Jan 24 15:01:30 amirAcerAspireF5 kernel: NetLabel: Initializing
Jan 24 15:01:30 amirAcerAspireF5 kernel: NetLabel:  domain hash size = 128
Jan 24 15:01:30 amirAcerAspireF5 kernel: NetLabel:  protocols = UNLABELED CIPSOv4 CALIPSO
Jan 24 15:01:30 amirAcerAspireF5 kernel: NetLabel:  unlabeled traffic allowed by default
Jan 24 15:01:30 amirAcerAspireF5 kernel: mctp: management component transport protocol core
Jan 24 15:01:30 amirAcerAspireF5 kernel: NET: Registered PF_MCTP protocol family
Jan 24 15:01:30 amirAcerAspireF5 kernel: PCI: Using ACPI for IRQ routing
Jan 24 15:01:30 amirAcerAspireF5 kernel: PCI: pci_cache_line_size set to 64 bytes
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: reserve RAM buffer [mem 0x0009e800-0x0009ffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: reserve RAM buffer [mem 0x6834c000-0x6bffffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: reserve RAM buffer [mem 0x68428000-0x6bffffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: reserve RAM buffer [mem 0x75c3e000-0x77ffffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: reserve RAM buffer [mem 0x77fff000-0x77ffffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: reserve RAM buffer [mem 0x182800000-0x183ffffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:02.0: vgaarb: setting as boot VGA device
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:02.0: vgaarb: bridge control possible
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:02.0: vgaarb: VGA device added: decodes=io+mem,owns=io+mem,locks=none
Jan 24 15:01:30 amirAcerAspireF5 kernel: vgaarb: loaded
Jan 24 15:01:30 amirAcerAspireF5 kernel: hpet0: at MMIO 0xfed00000, IRQs 2, 8, 0, 0, 0, 0, 0, 0
Jan 24 15:01:30 amirAcerAspireF5 kernel: hpet0: 8 comparators, 64-bit 24.000000 MHz counter
Jan 24 15:01:30 amirAcerAspireF5 kernel: clocksource: Switched to clocksource tsc-early
Jan 24 15:01:30 amirAcerAspireF5 kernel: VFS: Disk quotas dquot_6.6.0
Jan 24 15:01:30 amirAcerAspireF5 kernel: VFS: Dquot-cache hash table entries: 512 (order 0, 4096 bytes)
Jan 24 15:01:30 amirAcerAspireF5 kernel: pnp: PnP ACPI init
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:00: [mem 0xfd000000-0xfdabffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:00: [mem 0xfdad0000-0xfdadffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:00: [mem 0xfdb00000-0xfdffffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:00: [mem 0xfe000000-0xfe01ffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:00: [mem 0xfe036000-0xfe03bfff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:00: [mem 0xfe03d000-0xfe3fffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:00: [mem 0xfe410000-0xfe7fffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:01: [io  0x2000-0x20fe] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:02: [io  0x0680-0x069f] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:02: [io  0xffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:02: [io  0xffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:02: [io  0xffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:02: [io  0x1800-0x18fe] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:02: [io  0x164e-0x164f] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:04: [io  0x1854-0x1857] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:06: [mem 0xfdaf0000-0xfdafffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:06: [mem 0xfdae0000-0xfdaeffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:06: [mem 0xfdac0000-0xfdacffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xfed10000-0xfed17fff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xfed18000-0xfed18fff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xfed19000-0xfed19fff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xe0000000-0xefffffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xfed20000-0xfed3ffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xfed90000-0xfed93fff] could not be reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xfed45000-0xfed8ffff] could not be reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xff000000-0xffffffff] could not be reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0xfee00000-0xfeefffff] could not be reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: system 00:07: [mem 0x7c800000-0x7c81ffff] has been reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: pnp: PnP ACPI: found 8 devices
Jan 24 15:01:30 amirAcerAspireF5 kernel: clocksource: acpi_pm: mask: 0xffffff max_cycles: 0xffffff, max_idle_ns: 2085701024 ns
Jan 24 15:01:30 amirAcerAspireF5 kernel: NET: Registered PF_INET protocol family
Jan 24 15:01:30 amirAcerAspireF5 kernel: IP idents hash table entries: 65536 (order: 7, 524288 bytes, linear)
Jan 24 15:01:30 amirAcerAspireF5 kernel: tcp_listen_portaddr_hash hash table entries: 2048 (order: 3, 32768 bytes, linear)
Jan 24 15:01:30 amirAcerAspireF5 kernel: Table-perturb hash table entries: 65536 (order: 6, 262144 bytes, linear)
Jan 24 15:01:30 amirAcerAspireF5 kernel: TCP established hash table entries: 32768 (order: 6, 262144 bytes, linear)
Jan 24 15:01:30 amirAcerAspireF5 kernel: TCP bind hash table entries: 32768 (order: 8, 1048576 bytes, linear)
Jan 24 15:01:30 amirAcerAspireF5 kernel: TCP: Hash tables configured (established 32768 bind 32768)
Jan 24 15:01:30 amirAcerAspireF5 kernel: MPTCP token hash table entries: 4096 (order: 4, 98304 bytes, linear)
Jan 24 15:01:30 amirAcerAspireF5 kernel: UDP hash table entries: 2048 (order: 4, 65536 bytes, linear)
Jan 24 15:01:30 amirAcerAspireF5 kernel: UDP-Lite hash table entries: 2048 (order: 4, 65536 bytes, linear)
Jan 24 15:01:30 amirAcerAspireF5 kernel: NET: Registered PF_UNIX/PF_LOCAL protocol family
Jan 24 15:01:30 amirAcerAspireF5 kernel: NET: Registered PF_XDP protocol family
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: can't claim BAR 6 [mem 0xfff80000-0xffffffff pref]: no compatible bridge window
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:01:00.0: BAR 6: assigned [mem 0x94080000-0x940fffff pref]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0: PCI bridge to [bus 01]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0:   bridge window [io  0x4000-0x4fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0:   bridge window [mem 0x93000000-0x940fffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.0:   bridge window [mem 0x80000000-0x91ffffff 64bit pref]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.4: PCI bridge to [bus 02]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.4:   bridge window [io  0x3000-0x3fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.4:   bridge window [mem 0x94400000-0x944fffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.5: PCI bridge to [bus 03]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci 0000:00:1c.5:   bridge window [mem 0x94200000-0x943fffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: resource 4 [io  0x0000-0x0cf7 window]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: resource 5 [io  0x0d00-0xffff window]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: resource 6 [mem 0x000a0000-0x000bffff window]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: resource 7 [mem 0x7c800000-0xdfffffff window]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:00: resource 8 [mem 0xfd000000-0xfe7fffff window]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:01: resource 0 [io  0x4000-0x4fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:01: resource 1 [mem 0x93000000-0x940fffff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:01: resource 2 [mem 0x80000000-0x91ffffff 64bit pref]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:02: resource 0 [io  0x3000-0x3fff]
Jan 24 15:01:30 amirAcerAspireF5 kernel: pci_bus 0000:02: resource 1 [mem 0x94400000-0x944fffff]
